"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3,C4,C12,C13,C14,C15,C19","7","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C5,C8,C9","3","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C7","2","150p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C10,C11,C16,C18","4","2n2","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C17","1","2u2","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C20,C21,C32","3","820p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C23,C30,C31","3","1u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C24,C25,C33","3","680p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C26,C27,C34","3","1n8","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C28,C29,C35","3","270p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D3,D4,D5,D6,D7","5","1N4148","","","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","1","+-15v In","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"P2","1","AUDIO_IN","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"P3","1","OUT_L","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"P4","1","OUT_R","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"Q1,Q2,Q5,Q6,Q9,Q10,Q13","7","2SC1815","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","~"
"Q3,Q4,Q7,Q8,Q11,Q12,Q14,Q15,Q18,Q19","10","2SA1015","","","","Package_TO_SOT_THT:TO-92_Inline_Wide","~"
"Q16,Q20","2","2SK30","","","","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_SGD","https://datasheet.octopart.com/2SK30A-Toshiba-datasheet-101654.pdf"
"R1,R48,R50,R77,R79","5","47k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R22,R23,R35,R36,R52,R55,R66,R67,R71,R72,R83,R84,R88","14","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3,R9,R10,R13,R14,R54,R70","7","33k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4","1","1M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R6,R47,R86,R87","5","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7,R8,R25,R26,R27,R28","6","2k2","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11,R12,R56","3","330k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R15,R17,R41,R42","4","1k8","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R16,R18","2","8k2","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R19,R24","2","470k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20,R21","2","6k8","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R29,R30,R51,R53,R58,R59,R61,R62,R64,R65,R68,R69,R73,R74,R75,R76,R81,R82,R85","19","22k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R31,R32","2","15k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R33,R34","2","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R37,R38","2","12k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R39,R40","2","10","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R43,R44,R45,R46","4","3k3","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
